section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Combined,Set3,Draw1,5,0677,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,5,223,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,4,239,straight,7.0,R6,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Combined,Set3,Draw1,4,067,straight,7.0,R6,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Combined,Set3,Draw1,7,0389,straight,7.0,R8,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set3,Draw1,7,2336,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,7,226,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,6,2336,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set3,Draw1,6,226,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,5,226,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set3,Draw1,4,369,straight,7.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Combined,Set2,Draw1,7,367,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,034,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,0336,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set2,Draw1,7,3677,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,0224,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,33677,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set2,Draw1,7,024,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,0224,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,6,034,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,229,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2|span2
Combined,Set2,Draw1,6,367,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,3677,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,6,024,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,5,034,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,5,0249,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,5,367,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,5,024,straight,7.0,R2,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,3477,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,33477,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set2,Draw1,7,347,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,036,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,0569,straight,7.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,7,059,boxed,7.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,boxed|cov2|mirror
Combined,Set2,Draw1,7,0259,straight,7.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,6,3477,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,6,347,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,029,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,5,347,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,5,029,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,22339,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set2,Draw1,7,0579,straight,7.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,7,0677,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,0359,straight,7.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,7,2234,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,0577,straight,7.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,7,22334,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set2,Draw1,6,0677,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,6,2234,straight,7.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,5,2349,straight,7.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set2,Draw1,7,236,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,7,2246,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,22336,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set2,Draw1,7,2236,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,0779,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,7,039,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,236,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set2,Draw1,6,2246,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,6,2236,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Combined,Set2,Draw1,5,236,straight,7.0,R8,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set1,Draw1,7,0348,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,7,2299,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set1,Draw1,7,6678,boxed,7.0,"R2,R6",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set1,Draw1,7,2249,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,7,0368,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,6,2499,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,6,0366,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,0,boxed|cov2
Combined,Set1,Draw1,6,0249,straight,7.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,4,269,boxed,7.0,"R2,R4",False,False,False,False,False,False,False,False,False,1,boxed|cov2|hot1
Combined,Set1,Draw1,7,3478,straight,7.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Combined,Set1,Draw1,7,02299,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1
Combined,Set1,Draw1,7,069,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set1,Draw1,7,066,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set1,Draw1,6,069,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
Combined,Set1,Draw1,6,066,straight,7.0,R4,False,False,False,False,False,False,False,False,False,0,straight|cov1|span3
