kind,role,state,period,result,path,bytes,sha256
SOURCE,aux_core_post_result_md,Virginia4,Midday,170,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__Midday__170.md,21900,9f1bde651f8e5b8cc8ba1ce506143a909ccac42dbe0b7d6b7f34f01e3d902ba1
SOURCE,aux_core_post_result_json,Virginia4,Midday,170,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__Midday__170__POST_RESULT.json,36702,779ff7edc670996f55d58592aa51460a173db1f537534097a63a16e3b8c1ccc9
SOURCE,aux_core_pre_result_json,Virginia4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Virginia4/AUX_CORE__PRE_RESULT.json,3110057,74e21a87bf5d525ce9de198f04a6150077d804f2eb296609ac433de31f567489
SOURCE,post_result_synthesis_json,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/GOLD_DAY_POST_RESULT_SYNTHESIS.json,59104,b45acb1ac2235684af2d3d9f529e9d5ccb3041ca67d49c2e7a004180cdaf9634
SOURCE,post_result_synthesis_md,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/GOLD_DAY_POST_RESULT_SYNTHESIS.md,9129,5c13a8243ba77818efc71fcb2b39f4569ba5a86f959def71337cb396db59e9e5
SOURCE,straight_ledger_json,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/STRAIGHT_PATHWAY_LEDGER.json,197890,31c495db9cff6487902ffb1f074f25fecf9d49fa4ea646649fd904e8e65c633d
SOURCE,immediate_ledger_json,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/TABLE_1_IMMEDIATE_EXTRACTION_EVIDENCE.json,53134,b6cbee1921e17e3e5375cc06b25f3c26519438a597afd68d9d299116f4839a05
SOURCE,decay_ledger_json,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/TABLE_2_DECAY_AND_BONUS_BALL.json,3011105,f0355f2bbc7a736199fc351c219525d168a106b12af0c1cd084acd0c23453756
SOURCE,doubles_ledger_json,,,,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/TABLE_3_DOUBLES_RANKING_VS_OUTCOMES.json,34821,dd696eaa7f618ca3f74133536b037f079e6d37a72b2554121db4a9a5d2c45aaf
SOURCE,state_post_result_json,Connecticut4,Evening,091,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/cases/Connecticut4/Evening__091/POST_RESULT_AUTOPSY.json,1645971,fd4466aab677d0f394ca081393470f0331296724b4c44cc4f2cbc35e1a8c2f57
SOURCE,state_post_result_md,Connecticut4,Evening,091,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/cases/Connecticut4/Evening__091/POST_RESULT_AUTOPSY.md,8746,6393f44f6a5bf05eb37c5a42e74ba9b48684315e7046d0f48dc187afb2222396
SOURCE,state_post_result_json,Connecticut4,Midday,917,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/cases/Connecticut4/Midday__917/POST_RESULT_AUTOPSY.json,1269955,22dbe0dd44c9cd68d40617c76ba7a68bef2169f9737171fb0fd6b0768d9f3c31
SOURCE,state_post_result_md,Connecticut4,Midday,917,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/cases/Connecticut4/Midday__917/POST_RESULT_AUTOPSY.md,8255,e6ceeeebd4e0845d0b559026c46be4303f233a0c8c254760a5569dcb952fa497
SOURCE,state_post_result_json,Delaware4,Evening,062,tasks/CORE_EXTRACTION_ZONE_EXAMPLES/2026-03-09/POST_RESULT/cases/Delaware4/Evening__062/POST_RESULT_AUTOPSY.json,558369,2bf33657547b0188964c26f32a99fd4d4a891f986714fb7cdd7d28a106a7726f
